activation,optimizer,dropout,weight_init,train_time_s,test_acc,test_f1
leakyrelu,adamw,0.3,default,22.03,0.957,0.6275
leakyrelu,adamw,0.3,xavier,22.28,0.951,0.6162
leakyrelu,adamw,0.3,kaiming,20.05,0.949,0.6007
leakyrelu,adamw,0.3,orthogonal,21.13,0.944,0.5878
leakyrelu,nadam,0.0,default,20.27,0.961,0.6971
leakyrelu,nadam,0.0,xavier,23.0,0.956,0.5989
leakyrelu,nadam,0.0,kaiming,26.29,0.954,0.5923
leakyrelu,nadam,0.0,orthogonal,23.11,0.955,0.5974
leakyrelu,nadam,0.1,default,23.47,0.96,0.6947
leakyrelu,nadam,0.1,xavier,22.94,0.954,0.6052
leakyrelu,nadam,0.1,kaiming,22.5,0.951,0.5979
leakyrelu,nadam,0.1,orthogonal,22.14,0.952,0.6023
leakyrelu,nadam,0.2,default,22.05,0.958,0.6181
leakyrelu,nadam,0.2,xavier,22.84,0.959,0.6269
leakyrelu,nadam,0.2,kaiming,21.77,0.954,0.6137
leakyrelu,nadam,0.2,orthogonal,22.09,0.959,0.6285
leakyrelu,nadam,0.3,default,22.91,0.958,0.6204
leakyrelu,nadam,0.3,xavier,22.96,0.959,0.6242
leakyrelu,nadam,0.3,kaiming,23.4,0.956,0.6199
leakyrelu,nadam,0.3,orthogonal,21.64,0.956,0.611
leakyrelu,sgd,0.0,default,20.84,0.94,0.4692
leakyrelu,sgd,0.0,xavier,19.46,0.942,0.5337
leakyrelu,sgd,0.0,kaiming,20.7,0.956,0.6107
leakyrelu,sgd,0.0,orthogonal,20.18,0.94,0.5174
leakyrelu,sgd,0.1,default,22.16,0.939,0.4728
leakyrelu,sgd,0.1,xavier,19.55,0.939,0.4816
leakyrelu,sgd,0.1,kaiming,19.77,0.953,0.5946
leakyrelu,sgd,0.1,orthogonal,18.91,0.934,0.421
leakyrelu,sgd,0.2,default,18.41,0.939,0.4728
leakyrelu,sgd,0.2,xavier,18.3,0.938,0.4657
